Firstname,male,female,occurrences
AADI,2,0,2
AADIL,2,0,3
AAISHA,0,2,5
AAKASH,9,0,16
AALAP,3,0,4
AALIYAH,0,22,34
AAMER,2,0,3
AAMIR,11,0,19
AAN,0,2,5
AARON,880,1,1706
AARTHI,0,4,5
AARTI,0,10,31
AASHISH,4,0,9
AASIM,5,0,6
AAYUSH,2,0,3
AB,7,2,15
ABA,1,3,8
ABAD,2,0,2
ABASS,2,0,2
ABAYOMI,4,0,5
ABBA,6,0,7
ABBAS,15,0,38
ABBE,0,14,32
ABBEY,4,36,78
ABBI,0,4,12
ABBIE,0,20,58
ABBIGAIL,0,2,3
ABBII,0,2,2
ABBIOLA,0,2,2
ABBOTT,1,1,3
ABBY,7,208,520
ABDALLA,4,0,5
ABDALLAH,3,0,6
ABDEL,18,0,24
ABDELRAHMAN,3,0,5
ABDER,2,0,2
ABDI,2,0,4
ABDIEL,9,0,13
ABDO,3,0,4
ABDOOL,2,0,4
ABDOU,6,0,10
ABDOUL,10,0,16
ABDOULAYE,11,0,17
ABDUL,110,1,152
ABDULAZIZ,5,0,7
ABDULLA,6,0,6
ABDULLAH,26,0,49
ABDULLAHI,3,0,5
ABDULLAI,2,0,2
ABDUL-QADIR,2,0,2
ABDULRAHMAN,5,0,7
ABDUR,5,0,7
ABDURRAHMAN,2,0,3
ABDUSSAMET,2,0,2
ABE,82,0,151
ABEBA,0,2,4
ABEDIN,3,0,3
ABEER,0,2,8
ABEL,57,0,88
ABELARDO,5,0,7
ABENA,0,24,38
ABEY,7,0,9
ABHA,0,5,9
ABHAY,7,0,17
ABHI,14,0,24
ABHIJEET,3,0,6
ABHIJIT,2,0,10
ABHILASH,9,0,10
ABHIMANYU,2,0,3
ABHINAV,14,0,21
ABHINAY,2,0,3
ABHISHEK,51,0,68
ABI,8,14,41
ABID,11,0,19
ABIDA,0,2,5
ABIDEMI,1,2,4
ABIE,19,2,41
ABIEL,3,0,5
ABIEZER,2,0,3
ABIGAIL,0,165,381
ABIGALE,0,3,6
ABIMAEL,3,0,5
ABIMBOLA,2,3,11
ABIN,2,0,3
ABIODUN,2,2,9
ABIOLA,0,10,24
ABIR,8,1,17
ABISHAI,3,0,4
ABISHEK,2,0,2
ABM,2,0,3
ABNER,11,0,14
ABO,2,0,4
ABOSEDE,0,2,2
ABOU,5,0,8
ABOUBACAR,2,0,6
ABRA,0,2,7
ABRAHAM,123,0,208
ABRAHAN,3,0,4
ABRAR,2,0,8
ABRIL,0,3,3
ABU,23,1,35
ABUBAKAR,5,0,7
ABUL,5,0,12
ABY,8,0,14
AC,8,3,22
ACACIA,0,3,13
ACE,41,1,70
ACHILLE,2,0,3
ACHILLES,11,0,14
ACHIM,2,0,3
ACHMED,3,0,3
ACHVA,2,0,2
ACHYUT,3,0,3
ACID,3,0,6
ACKEEM,2,0,3
ACKIM,2,0,2
ACOSTA,1,1,6
AD,4,3,10
ADA,2,85,169
ADAEZE,0,2,6
ADAH,0,4,6
ADAIR,0,4,7
ADALBERTO,12,0,17
ADALGISA,0,6,8
ADALISA,0,2,3
ADALIZ,0,3,3
ADAM,1802,4,3697
ADAMA,6,6,15
ADAMS,7,2,12
ADANA,0,4,7
ADANNA,0,9,14
ADAR,1,2,4
ADARA,0,4,4
ADARSH,2,0,5
ADASA,0,2,2
ADDAM,2,0,2
ADDI,2,1,6
ADDIE,1,16,40
ADDIS,4,2,9
ADDISON,11,2,26
ADDY,6,14,32
ADE,21,6,51
ADEBAYO,8,1,14
ADEBISI,2,1,4
ADEBOLA,0,3,7
ADEDAYO,3,1,7
ADEDOTUN,3,0,4
ADEEB,2,0,3
ADEEL,17,0,29
ADEGBOYEGA,3,0,3
ADEINA,0,2,2
ADEJOKE,0,3,4
ADEKEMI,1,1,4
ADEKUNLE,8,0,9
ADEL,21,4,54
ADELA,1,18,41
ADELAIDA,0,10,14
